Rank,Name,Platform,Platform Group,Year,Genre,Publisher,NA Sales,EU Sales,JP Sales,Other Sales,Global Sales
15623,Bakumatsu Renka: Karyuu Kenshi-den,PS2,PS,2007,Adventure,D3Publisher,0,0,0.02,0,0.02
15624,Dancing on Ice,DS,Nintendo,2010,Sports,Ghostlight,0,0.02,0,0,0.02
15625,Tiny Toon Adventures: Wacky Stackers,GBA,Nintendo,2001,Puzzle,Conspiracy Entertainment,0.01,0,0,0,0.02
15626,Princess Frontier Portable,PSP,PS,2011,Adventure,Alchemist,0,0,0.02,0,0.02
15627,Rock Blast,Wii,Nintendo,2010,Puzzle,UFO Interactive,0.02,0,0,0,0.02
15628,Touch Detective (JP sales),DS,Nintendo,2006,Adventure,505 Games,0,0,0.02,0,0.02
15629,Tomb Raider: Legend,PC,PC,2006,Action,Eidos Interactive,0,0.01,0,0,0.02
15630,Emergency Mayhem,Wii,Nintendo,2008,Racing,Codemasters,0.02,0,0,0,0.02
15631,Rising Zan: The Samurai Gunman,PS,PS,1998,Action,Agetec,0.01,0.01,0,0,0.02
15632,Mai-Otome Hime: Otome Butou Shi,PS2,PS,2006,Fighting,Sunrise Interactive,0,0,0.02,0,0.02
15633,Robopon 2: Cross Version,GBA,Nintendo,2001,Role-Playing,Hudson Entertainment,0.01,0,0,0,0.02
15634,TMNT: Mutant Melee,XB,XBox,2005,Fighting,Konami Digital Entertainment,0.01,0,0,0,0.02
15635,Ultimate Puzzle Games,GBA,Nintendo,2005,Puzzle,Telegames,0.01,0,0,0,0.02
15636,Combat Flight Simulator 3: Battle for Europe,PC,PC,2002,Simulation,Microsoft Game Studios,0.01,0.01,0,0,0.02
15637,Kimikare: New Semester,PSP,PS,2012,Action,Idea Factory,0,0,0.02,0,0.02
15638,Katekyoo Hitman Reborn! Kindan no Yami no Delta,PS2,PS,2008,Action,Marvelous Interactive,0,0,0.02,0,0.02
15639,Haneru no Tobira Wii: Girigirissu,Wii,Nintendo,2007,Misc,Namco Bandai Games,0,0,0.02,0,0.02
15640,RoboCop,XB,XBox,2003,Shooter,Titus,0.01,0,0,0,0.02
15641,Elminage II: Sousei no Megami to Unmei no Daichi,PSP,PS,2009,Role-Playing,Starfish,0,0,0.02,0,0.02
15642,Lara Croft and the Temple of Osiris,PC,PC,2014,Action,Square Enix,0,0.02,0,0,0.02
15643,Final Fantasy XIV: Heavensward,PC,PC,2015,Action,Square Enix,0.01,0.01,0,0,0.02
15644,Grisaia no Rakuen: Le Eden de la Grisaia,PSV,PS,2014,Adventure,Prototype,0,0,0.02,0,0.02
15645,Blazing Souls,PS2,PS,2006,Role-Playing,Idea Factory,0,0,0.02,0,0.02
15646,Seinaru Kana: Orichalcum no Na no Motoni,PSP,PS,2012,Action,CyberFront,0,0,0.02,0,0.02
15647,NHL 2K3,GC,Nintendo,2002,Sports,Sega,0.01,0,0,0,0.02
15648,PDC World Championship Darts 2009,Wii,Nintendo,2009,Sports,Oxygen Interactive,0,0.02,0,0,0.02
15649,Tour de France 2014,PS3,PS,2014,Sports,Focus Home Interactive,0,0.02,0,0,0.02
15650,The Hustle: Detroit Streets,XB,XBox,2006,Sports,Activision,0.01,0,0,0,0.02
15651,Tail of the Sun,PS,PS,1996,Role-Playing,ArtDink,0.01,0.01,0,0,0.02
15652,Canada Hunt,Wii,Nintendo,2010,Sports,Virtual Play Games,0.02,0,0,0,0.02
15653,Space Channel 5: Ulala's Cosmic Attack,GBA,Nintendo,2002,Misc,Atari,0.01,0,0,0,0.02
15654,Airline Tycoon,PC,PC,2000,Simulation,Interplay,0,0.01,0,0,0.02
15655,Virtua Quest,PS2,PS,2004,Role-Playing,Unknown,0.01,0.01,0,0,0.02
15656,Disney Sports Basketball,GBA,Nintendo,2002,Sports,Konami Digital Entertainment,0.01,0,0,0,0.02
15657,Bejeweled Blitz,PC,PC,2010,Puzzle,Mastertronic,0,0.01,0,0,0.02
15658,Ozzy & Drix,GBA,Nintendo,2003,Platform,Midway Games,0.01,0,0,0,0.02
15659,Barnyard Blast: Swine of the Night,DS,Nintendo,2008,Platform,Big Ben Interactive,0.02,0,0,0,0.02
15660,SBK09 Superbike World Championship,PS3,PS,2009,Racing,Black Bean Games,0,0.01,0,0,0.02
15661,Song of the Deep,PC,PC,2016,Action,Insomniac Games,0.02,0,0,0,0.02
15662,Yamasa Digi World SP: Moeyo! Kung Fu Shukujo,PS2,PS,2006,Misc,Yamasa Entertainment,0,0,0.02,0,0.02
15663,Nobunaga no Yabou: Soutensoku with Power-Up Kit,PSP,PS,2011,Strategy,Tecmo Koei,0,0,0.02,0,0.02
15664,Disney Sports Football,GC,Nintendo,2002,Sports,Konami Digital Entertainment,0.01,0,0,0,0.02
15665,Castle Shikigami 2,PS2,PS,2004,Shooter,Play It,0.01,0.01,0,0,0.02
15666,Wizardry Twin Pack,PS3,PS,2011,Role-Playing,Acquire,0,0,0.02,0,0.02
15667,Rabbids Invasion: The Interactive TV Show,PS4,PS,2014,Misc,Ubisoft,0,0.01,0,0,0.02
15668,Moe Star: Moeru Toudai Eigojuku,DS,Nintendo,2008,Misc,Mirai Shounen,0,0,0.02,0,0.02
15669,Gadget Racers (PAL),PS2,PS,2002,Racing,Zoo Digital Publishing,0,0,0.02,0,0.02
15670,Pulse Racer,XB,XBox,2003,Racing,Jaleco,0.01,0,0,0,0.02
15671,Freestyle Metal X,GC,Nintendo,2003,Racing,Midway Games,0.01,0,0,0,0.02
15672,Tegami Bachi: Kokoro Tsumugu Mono e,PSP,PS,2010,Role-Playing,Konami Digital Entertainment,0,0,0.02,0,0.02
15673,NEVES,DS,Nintendo,2007,Puzzle,Ignition Entertainment,0.01,0,0,0,0.02
15674,Unreal Tournament 2004,PC,PC,2004,Shooter,Atari,0,0.01,0,0,0.02
15675,NBA 07,PS2,PS,2006,Sports,Sony Computer Entertainment,0.01,0.01,0,0,0.02
15676,Antiphona no Seikahime: Tenshi no Gakufu Op.A,PSP,PS,2009,Role-Playing,Nippon Ichi Software,0,0,0.02,0,0.02
15677,Rogue Trooper,XB,XBox,2006,Shooter,Eidos Interactive,0.01,0,0,0,0.02
15678,Spirits & Spells,GC,Nintendo,2003,Platform,Wanadoo,0.01,0,0,0,0.02
15679,TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.2,PS3,PS,2015,Action,Namco Bandai Games,0,0,0.02,0,0.02
15680,Balls of Fury,DS,Nintendo,2007,Sports,Zoo Digital Publishing,0.02,0,0,0,0.02
15681,50 Classic Games,3DS,Nintendo,2012,Misc,Avanquest Software,0,0.02,0,0,0.02
15682,The Longest Journey,PC,PC,1999,Adventure,Empire Interactive,0,0.01,0,0,0.02
15683,Eyeshield 21: Portable Edition,PSP,PS,2006,Role-Playing,Konami Digital Entertainment,0,0,0.02,0,0.02
15684,Stronghold Legends,PC,PC,2006,Strategy,Take-Two Interactive,0,0.01,0,0,0.02
15685,Kabushiki Baibai Trainer: Kabutore! Next,DS,Nintendo,2007,Simulation,Konami Digital Entertainment,0,0,0.02,0,0.02
15686,Machi: Unmei no Kousaten,PSP,PS,2006,Adventure,ChunSoft,0,0,0.02,0,0.02
15687,Winning Post 8 2016,PS4,PS,2016,Simulation,Tecmo Koei,0,0,0.02,0,0.02
15688,Golden Nugget Casino DS,DS,Nintendo,2005,Misc,Majesco Entertainment,0.02,0,0,0,0.02
15689,Machi-ing Maker 4,PS3,PS,2011,Strategy,D3Publisher,0,0,0.02,0,0.02
15690,World Class Rugby 2: Kokunai Gekitou Hen '93,SNES,Nintendo,1994,Sports,Misawa,0,0,0.02,0,0.02
15691,Pirates PlundArrr,Wii,Nintendo,2010,Action,Majesco Entertainment,0.02,0,0,0,0.02
15692,Robotics;Notes,PSV,PS,2014,Adventure,5pb,0,0,0.02,0,0.02
15693,Ketsui Death Label,DS,Nintendo,2008,Shooter,Arika,0,0,0.02,0,0.02
15694,Prince of Stride,PSV,PS,2015,Adventure,Kadokawa Games,0,0,0.02,0,0.02
15695,Syberia II,PC,PC,2004,Adventure,MC2 Entertainment,0,0.01,0,0,0.02
15696,SD Gundam Force,GBA,Nintendo,2004,Shooter,Namco Bandai Games,0.01,0,0,0,0.02
15697,Mechanic Master 2,DS,Nintendo,2010,Puzzle,Crave Entertainment,0.02,0,0,0,0.02
15698,Dungeons - The Dark Lord,PC,PC,2011,Strategy,Kalypso Media,0,0.01,0,0,0.02
15699,Clover no Kuni no Alice: Wonderful Wonder World,PSP,PS,2011,Adventure,Quinrose,0,0,0.02,0,0.02
15701,Hisshou Pachinko*Pachi-Slot Kouryaku Series Vol. 9: CR Fever Captain Harlock,PS2,PS,2007,Misc,D3Publisher,0,0,0.02,0,0.02
15702,Lost: Via Domus,PC,PC,2008,Action,Ubisoft,0,0.01,0,0,0.02
15703,Monster High 13 Wishes,3DS,Nintendo,2013,Action,Little Orbit,0,0.02,0,0,0.02
15704,GA - Geijutsuka Art Design Class: Slapstick Wonder Land,PSP,PS,2010,Adventure,Russel,0,0,0.02,0,0.02
15705,Planetarian: Chiisana Hoshi no Yume,PSP,PS,2009,Adventure,Prototype,0,0,0.02,0,0.02
15706,Roommate Asami: Okusama wa Joshikousei,PS2,PS,2002,Adventure,Datam Polystar,0,0,0.02,0,0.02
15707,Cabbage Patch Kids: The Patch Puppy Rescue,GBA,Nintendo,2007,Misc,D3Publisher,0.01,0,0,0,0.02
15708,Sarah: Keeper of the Unicorn,DS,Nintendo,2009,Adventure,DreamCatcher Interactive,0.02,0,0,0,0.02
15709,Pirates: Legend of the Black Buccaneer,PS2,PS,2006,Adventure,10TACLE Studios,0.01,0.01,0,0,0.02
15710,Back to the Future: The Game,XOne,XBox,2015,Adventure,Telltale Games,0,0.02,0,0,0.02
15711,Post Mortem,PC,PC,2003,Adventure,Microids,0,0.01,0,0,0.02
15712,Ultraman Star Chronicles,PSP,PS,2013,Strategy,Namco Bandai Games,0,0,0.02,0,0.02
15713,Ginga Tetsudou 999 DS,DS,Nintendo,2010,Adventure,Culture Brain,0,0,0.02,0,0.02
15714,TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.3,PS3,PS,2015,Action,Namco Bandai Games,0,0,0.02,0,0.02
15715,Amagoushi no Yakata,PS2,PS,2007,Adventure,Nippon Ichi Software,0,0,0.02,0,0.02
15716,Aedis Eclipse: Generation of Chaos,PSP,PS,2006,Role-Playing,Idea Factory,0.02,0,0,0,0.02
15717,This War of Mine,PS4,PS,2016,Action,Deep Silver,0,0.01,0,0,0.02
15718,Franklin: A Birthday Surprise,PS2,PS,2006,Misc,Game Factory,0.01,0.01,0,0,0.02
15719,Nil Admirari no Tenbin: Teito Genwaku Toukidan,PSV,PS,2016,Adventure,Idea Factory,0,0,0.02,0,0.02
15720,Without Warning,XB,XBox,2005,Shooter,Capcom,0.01,0,0,0,0.02
15721,Marvel Superheroes 3D: Grandmaster's Challenge,Wii,Nintendo,2010,Action,Neko Entertainment,0,0.01,0,0,0.02
15722,Suzunone Seven: Rebirth Knot,PS2,PS,2010,Adventure,Alchemist,0,0,0.02,0,0.02
15723,Arslan: The Warriors of Legend,XOne,XBox,2016,Action,Tecmo Koei,0.01,0,0,0,0.02
15724,"Hanayaka Kana, Ware ga Ichizoku: Tasogare Polarstar",PSP,PS,2013,Adventure,Idea Factory,0,0,0.02,0,0.02
15725,Zoids Dash,DS,Nintendo,2006,Role-Playing,Tomy Corporation,0,0,0.02,0,0.02
15726,Digimon Rumble Arena,PS,PS,2001,Fighting,Namco Bandai Games,0.01,0.01,0,0,0.02
15727,Vitamin X Evolution Plus,PSP,PS,2010,Adventure,D3Publisher,0,0,0.02,0,0.02
15728,Disciples III: Renaissance,PC,PC,2010,Strategy,Kalypso Media,0,0.01,0,0,0.02
15729,Revolution: 25th Anniversary Collection,PC,PC,2016,Adventure,Koch Media,0,0.02,0,0,0.02
15730,MX vs. ATV Supercross Encore,XOne,XBox,2015,Sports,Nordic Games,0.02,0,0,0,0.02
15731,Final Fight: Streetwise,XB,XBox,2006,Action,Capcom,0.01,0,0,0,0.02
15732,Goblin Commander: Unleash the Horde,GC,Nintendo,2003,Strategy,Jaleco,0.01,0,0,0,0.02
15733,Super Speed Machines,DS,Nintendo,2009,Racing,Midas Interactive Entertainment,0.02,0,0,0,0.02
15734,Nano Diver,PSP,PS,2011,Action,Takara Tomy,0,0,0.02,0,0.02
15735,Elkrone no Atelier: Dear for Otomate,PSP,PS,2012,Action,Idea Factory,0,0,0.02,0,0.02
15736,DJ Star,DS,Nintendo,2009,Misc,Deep Silver,0.01,0,0,0,0.02
15737,Top Gear RPM Tuning,XB,XBox,2005,Racing,Wanadoo,0.01,0,0,0,0.02
15738,Cookie & Cream,DS,Nintendo,2007,Platform,505 Games,0.01,0,0,0,0.02
15739,Memories Off: Yubikiri no Kioku,X360,XBox,2010,Adventure,5pb,0,0,0.02,0,0.02
15740,Otometeki Koi Kakumei * Love Revo!! DS,DS,Nintendo,2008,Adventure,GungHo,0,0,0.02,0,0.02
15741,Clue / Mouse Trap / Perfection / Aggravation,DS,Nintendo,2006,Misc,Unknown,0.02,0,0,0,0.02
15742,Football Manager 2007,X360,XBox,2025,Sports,Sega,0,0.01,0,0,0.02
15743,TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.4,PS3,PS,2015,Action,Namco Bandai Games,0,0,0.02,0,0.02
15744,Elven Legacy Collection,PC,PC,2010,Strategy,Paradox Interactive,0,0.01,0,0,0.02
15745,My Ballet Studio,DS,Nintendo,2009,Simulation,505 Games,0.01,0,0,0,0.02
15746,Postman Pat: Special Delivery Service,DS,Nintendo,2009,Misc,GSP,0,0.01,0,0,0.02
15747,Cross + Channel,PSP,PS,2010,Adventure,CyberFront,0,0,0.02,0,0.02
15748,LEGO Star Wars II: The Original Trilogy,PC,PC,2006,Action,Activision,0,0.01,0,0,0.02
15749,Summer Challenge: Athletics Tournament,Wii,Nintendo,2011,Sports,PQube,0,0.01,0,0,0.02
15750,Kochira Katsushikaku Kameari Kouenmae Hashutsujo: Machiteba Tengoku! Makereba Jigoku! Ryoutsuryuu Ikkakusenkin Daisakusen!,DS,Nintendo,2010,Misc,Namco Bandai Games,0,0,0.02,0,0.02
15751,Just Cause,PC,PC,2006,Action,Eidos Interactive,0,0.01,0,0,0.02
15752,Abunai: Koi no Sousa Shitsu,PSV,PS,2015,Action,Asgard,0,0,0.02,0,0.02
15753,Blazing Angels: Squadrons of WWII,PC,PC,2006,Simulation,Ubisoft,0.01,0,0,0,0.02
15754,Let's Yoga!,DS,Nintendo,2007,Misc,Konami Digital Entertainment,0,0,0.02,0,0.02
15755,Zero no Tsukaima: Muma ga Tsumugu Yokaze no Nocturne,PS2,PS,2007,Adventure,Marvelous Interactive,0,0,0.02,0,0.02
15756,Memories Off: Yubikiri no Kikou,PSP,PS,2011,Adventure,5pb,0,0,0.02,0,0.02
15757,L.G.S: Shinsetsu Houshinengi,PSP,PS,2012,Action,Idea Factory,0,0,0.02,0,0.02
15758,Battle Engine Aquila,XB,XBox,2003,Shooter,Atari,0.01,0,0,0,0.02
15759,Turbo: Super Stunt Squad,Wii,Nintendo,2013,Sports,D3Publisher,0,0.02,0,0,0.02
15760,Hurry Up Hedgehog!,DS,Nintendo,2009,Racing,O-Games,0.02,0,0,0,0.02
15761,Hands On! Tangrams,DS,Nintendo,2009,Puzzle,Storm City Games,0.02,0,0,0,0.02
15762,Puzzle Chronicles,DS,Nintendo,2010,Puzzle,Konami Digital Entertainment,0.01,0,0,0,0.02
15763,Discworld II: Mortality Bytes!,PS,PS,1996,Adventure,Psygnosis,0.01,0.01,0,0,0.02
15764,One Piece Mansion,PS,PS,2001,Action,Capcom,0.01,0.01,0,0,0.02
15765,Uchi no 3 Shimai DS,DS,Nintendo,2008,Misc,Culture Brain,0,0,0.02,0,0.02
15766,Divinity: Original Sin,PC,PC,2014,Role-Playing,Focus Home Interactive,0,0.02,0,0,0.02
15767,Soul Eater: Monotone Princess,Wii,Nintendo,2008,Action,Square Enix,0,0,0.02,0,0.02
15768,Strike Witches: Shirogane no Tsubasa,X360,XBox,2010,Strategy,CyberFront,0,0,0.02,0,0.02
15769,Big Idea's VeggieTales: LarryBoy and the Bad Apple,GBA,Nintendo,2006,Action,Crave Entertainment,0.01,0,0,0,0.02
15770,Still Life 2,PC,PC,2009,Adventure,Rondomedia,0,0.01,0,0,0.02
15771,Metal Fight Beyblade: Choujou Kessen! Big Bang Bladers,DS,Nintendo,2010,Action,Hudson Soft,0,0,0.02,0,0.02
15772,Clock Zero: Shuuen no Ichibyou - ExTime,PSV,PS,2015,Action,Idea Factory,0,0,0.02,0,0.02
15773,Moujuutsukai to Oujisama,PS2,PS,2010,Adventure,Idea Factory,0,0,0.02,0,0.02
15774,Root Infinity Rexx,PSV,PS,2015,Adventure,Idea Factory,0,0,0.02,0,0.02
15775,Cube,PSP,PS,2007,Puzzle,D3Publisher,0.02,0,0,0,0.02
15776,Shinseiki GPX Cyber Formula: Road To The INFINITY 4,PS2,PS,2007,Racing,Sunrise Interactive,0,0,0.02,0,0.02
15777,Army Men: Major Malfunction,XB,XBox,2006,Shooter,Global Star,0.01,0,0,0,0.02
15778,Dunamis 15,X360,XBox,2011,Adventure,5pb,0,0,0.02,0,0.02
15779,Sansuu Puzzle de Migaku: Gakken Otona no Shikou Sense,DS,Nintendo,2007,Misc,Gakken,0,0,0.02,0,0.02
15780,Worms World Party,PC,PC,2001,Strategy,Virgin Interactive,0,0.01,0,0,0.02
15781,Yoake Yori Ruriiro na Portable,PSP,PS,2010,Adventure,Kadokawa Shoten,0,0,0.02,0,0.02
15782,Big Bass Fishing,PS,PS,2002,Action,Take-Two Interactive,0,0,0.02,0,0.02
15783,Reine des Fleurs,PSV,PS,2015,Action,Idea Factory,0,0,0.02,0,0.02
15784,Gears of War,PC,PC,2007,Shooter,Microsoft Game Studios,0,0.01,0,0,0.02
15785,Densha de Go! Shinkansen EX: Sanyou Shinkansen-hen,Wii,Nintendo,2007,Simulation,Taito,0,0,0.02,0,0.02
15786,Namco Museum 50th Anniversary (JP sales),PS2,PS,2005,Misc,Namco Bandai Games,0,0,0.02,0,0.02
15787,Gummy Bears Magical Medallion,Wii,Nintendo,2011,Platform,Storm City Games,0.02,0,0,0,0.02
15788,Colin McRae Rally 2005,PC,PC,2004,Racing,Codemasters,0,0.01,0,0,0.02
15789,Mana Khemia 2: Ochita Gakuen to Renkinjutsushi Tachi Portable+,PSP,PS,2009,Role-Playing,Gust,0,0,0.02,0,0.02
15790,LEGO Star Wars: The Video Game,PC,PC,2005,Action,Eidos Interactive,0,0.01,0,0,0.02
